group,eps,case,relerr
diag,1e-4,1,1.522800412731613e-09
diag,1e-4,1,1.965262765196958e-09
diag,1e-4,1,8.442709631718026e-11
diag,1e-4,1,5.305785241833436e-08
diag,1e-4,1,2.341400146170910e-09
diag,1e-4,1,7.274076607565235e-11
diag,1e-4,1,2.752345199293864e-08
diag,1e-4,1,4.361561816762802e-09
diag,1e-4,1,3.725259971724185e-12
diag,1e-4,1,4.093721053584449e-13
diag,1e-4,1,1.421437059660275e-09
diag,1e-4,1,7.568380141590846e-12
diag,1e-4,1,4.348763734091344e-12
diag,1e-4,1,6.116515677931310e-13
diag,1e-4,1,2.199459691327520e-09
diag,1e-4,1,2.851842570906308e-09
diag,1e-4,1,1.220640784784469e-12
diag,1e-4,1,2.334517940866307e-07
diag,1e-4,1,1.480055974291880e-08
diag,1e-4,1,6.840711766655922e-10
diag,1e-4,1,2.646198624426730e-12
diag,1e-4,1,1.349554296849779e-10
diag,1e-4,1,4.981725666532914e-13
diag,1e-4,1,2.676102561266366e-07
diag,1e-4,1,3.626244596456531e-13
diag,1e-4,1,1.179245355400854e-11
diag,1e-4,1,5.458425280724810e-06
diag,1e-4,1,3.361973038788483e-05
diag,1e-4,1,1.461447160899755e-09
diag,1e-4,1,1.037183383338786e-11
diag,1e-4,1,3.067258688222165e-12
diag,1e-4,1,3.782221467375385e-13
diag,1e-4,1,1.337113341066287e-07
diag,1e-4,1,1.627032779492090e-06
diag,1e-4,1,7.979549531686088e-11
diag,1e-4,1,3.840503601288090e-07
diag,1e-4,1,1.315335649602998e-10
diag,1e-4,1,5.490970384905966e-10
diag,1e-4,1,3.180010850711135e-10
diag,1e-4,1,3.720232433992210e-08
diag,1e-4,1,2.976745326010457e-11
diag,1e-4,1,1.635335249945831e-12
diag,1e-4,1,4.005811811662961e-13
diag,1e-4,1,1.404333039707837e-12
diag,1e-4,1,2.010228820652079e-11
diag,1e-4,1,1.332987233146507e-10
diag,1e-4,1,2.747919865821059e-09
diag,1e-4,1,2.006519882858695e-13
diag,1e-4,1,9.150446985341378e-13
diag,1e-4,1,7.072558180159128e-12
diag,1e-4,1,4.038534843200049e-12
diag,1e-4,1,6.239625490947205e-11
diag,1e-4,1,1.791250145483353e-11
diag,1e-4,1,2.358680284753831e-10
diag,1e-4,1,5.218436571877200e-12
diag,1e-4,1,5.130650223899487e-11
diag,1e-4,1,1.789572084394961e-12
diag,1e-4,1,6.865346991252824e-09
diag,1e-4,1,9.090517793429579e-13
diag,1e-4,1,4.786299409739573e-11
diag,1e-4,1,7.129944738685231e-07
diag,1e-4,1,2.494107053277273e-12
diag,1e-4,1,1.482509407311004e-13
diag,1e-4,1,3.003084374401968e-10
